Hair_Type,Hair_Issue,Recommended_Product,Care_Tip
Straight,Oily,L'Oreal Paris Elvive Extraordinary Clay Shampoo,Avoid tight ponytails to prevent hair breakage.
Wavy,Hair Breakage,ORS Olive Oil Incredibly Rich Oil Moisturizing Hair Lotion,Use a heat protectant spray before styling with hot tools.
Curly,Oily,Nioxin System 2 Cleanser Shampoo,Wash your hair every other day and use dry shampoo between washes.
Curly,Dryness,Neutrogena T/Gel Therapeutic Shampoo,Use a heat protectant spray before styling with hot tools.
Straight,Split Ends,Briogeo Scalp Revival Charcoal + Coconut Oil Shampoo,Incorporate a scalp massage into your routine and avoid over-styling.
Wavy,Hair Breakage,Head & Shoulders Classic Clean Shampoo,Focus shampoo on the roots and conditioner on the ends of your hair.
Coily,Dandruff,Garnier Fructis Sleek & Shine Anti-Frizz Serum,Focus shampoo on the roots and conditioner on the ends of your hair.
Curly,Dandruff,DevaCurl SuperCream Coconut Curl Styler,Avoid tight ponytails to prevent hair breakage.
Curly,Hair Fall,Moroccanoil Curl Defining Cream,Use a leave-in conditioner and avoid brushing your hair when it's wet.
Straight,Dryness,Moroccanoil Curl Defining Cream,Use an anti-dandruff shampoo twice a week and moisturize your scalp regularly.
Straight,Frizz,Neutrogena T/Gel Therapeutic Shampoo,Keep your hair moisturized and use a silk or satin pillowcase at night.
Coily,Oily,Head & Shoulders Classic Clean Shampoo,Use a protein treatment once a month and avoid excessive heat styling.
Coily,Oily,Garnier Fructis Sleek & Shine Anti-Frizz Serum,Focus shampoo on the roots and conditioner on the ends of your hair.
Curly,Oily,John Frieda Frizz Ease Extra Strength Serum,Keep your hair moisturized and use a silk or satin pillowcase at night.
Coily,Hair Breakage,Tresemme Keratin Smooth Shampoo,Use a gentle scalp massage to stimulate hair growth and avoid tight hairstyles.
Coily,Hair Breakage,Lush R&B Hair Moisturizer,Take biotin supplements and avoid hairstyles that pull on your roots.
Straight,Split Ends,DevaCurl SuperCream Coconut Curl Styler,Use a medicated shampoo and avoid heavy styling products that can build up on the scalp.
Wavy,Split Ends,Biotin Hair Growth Serum,Use a medicated shampoo and avoid heavy styling products that can build up on the scalp.
Curly,Oily,ORS Olive Oil Incredibly Rich Oil Moisturizing Hair Lotion,Apply a smoothing serum to damp hair and use a flat iron for a sleek finish.
Straight,Hair Fall,Cantu Shea Butter Leave-In Conditioning Repair Cream,Use a wide-tooth comb and avoid touching your hair too much during the day.
Curly,Split Ends,Tresemme Keratin Smooth Shampoo,Use a medicated shampoo and avoid heavy styling products that can build up on the scalp.
Straight,Dryness,Nature's Gate Biotin Strengthening Shampoo,Use a leave-in conditioner and avoid brushing your hair when it's wet.
Wavy,Oily,SheaMoisture Curl Enhancing Smoothie,Use a leave-in conditioner and avoid brushing your hair when it's wet.
Wavy,Dandruff,L'Oreal Paris Elvive Extraordinary Clay Shampoo,"Use a moisturizing shampoo and conditioner, and avoid hot water during showers."
Wavy,Hair Breakage,Briogeo Scalp Revival Charcoal + Coconut Oil Shampoo,Use a heat protectant spray before styling with hot tools.
Curly,Hair Breakage,Briogeo Scalp Revival Charcoal + Coconut Oil Shampoo,Wash your hair every other day and use dry shampoo between washes.
Curly,Hair Breakage,Cantu Shea Butter Leave-In Conditioning Repair Cream,Wash your hair every other day and use dry shampoo between washes.
Straight,Split Ends,ORS Olive Oil Incredibly Rich Oil Moisturizing Hair Lotion,Keep your hair moisturized and use a silk or satin pillowcase at night.
Straight,Dryness,Moroccanoil Curl Defining Cream,Apply a smoothing serum to damp hair and use a flat iron for a sleek finish.
Curly,Oily,John Frieda Frizz Ease Extra Strength Serum,Wash your hair every other day and use dry shampoo between washes.
Wavy,Split Ends,Dove Refresh+Care Dry Shampoo,Use a heat protectant spray before styling with hot tools.
Coily,Hair Fall,Nature's Gate Biotin Strengthening Shampoo,Rinse your hair with cool water to seal the cuticles and add shine.
Wavy,Dryness,ORS Olive Oil Incredibly Rich Oil Moisturizing Hair Lotion,Use a protein treatment once a month and avoid excessive heat styling.
Straight,Dryness,L'Oreal Paris Elvive Extraordinary Clay Shampoo,Use a hair mask once a week to restore moisture and repair damage.
Wavy,Split Ends,L'Oreal Paris Elvive Extraordinary Clay Shampoo,Rinse your hair with cool water to seal the cuticles and add shine.
Coily,Split Ends,Tresemme Keratin Smooth Shampoo,Rinse your hair with cool water to seal the cuticles and add shine.
Straight,Split Ends,Dove Refresh+Care Dry Shampoo,Use a gentle scalp massage to stimulate hair growth and avoid tight hairstyles.
Wavy,Oily,SheaMoisture Curl Enhancing Smoothie,Use a medicated shampoo and avoid heavy styling products that can build up on the scalp.
Coily,Split Ends,Aussie 3 Minute Miracle Moist Deep Conditioner,Avoid washing your hair too often and seal in moisture with oils.
Wavy,Frizz,Biotin Hair Growth Serum,Use a gentle scalp massage to stimulate hair growth and avoid tight hairstyles.
Curly,Split Ends,ORS Olive Oil Incredibly Rich Oil Moisturizing Hair Lotion,Keep your hair moisturized and use a silk or satin pillowcase at night.
Straight,Dandruff,John Frieda Frizz Ease Extra Strength Serum,Trim your hair every 6-8 weeks and avoid using heat styling tools frequently.
